"Identifiant de la nomination","Identifiant du député","Prénom et nom du député","Identifiant de l'organe","Type de l'organe","Libellé de l'organe","Début de la nomination","Fin de la nomination","Qualité de la nomination"
"PM868045","PA720342","Nicole Le Peih","PO851612","GA","France-Maroc","2025-03-27","","Secrétaire"
"PM857845","PA736201","Sophie Taillé-Polian","PO851552","GA","France-Arménie","2025-01-23","","Membre"
"PM860972","PA795552","Julien Odoul","PO851658","GA","France-Danemark","2025-01-30","","Membre"
"PM860359","PA719640","Sophie Mette","PO851633","GA","France-Maurice","2025-01-28","","Membre"
"PM859488","PA793166","Jocelyn Dessigny","PO851284","GA","France-Côte d'Ivoire","2025-01-27","","Membre"
"PM861883","PA840979","Corentin Le Fur","PO851759","GA","France-Bolivie","2025-02-03","","Membre"
"PM856580","PA795374","Pascal Lecamp","PO854491","GE","Ruralité","2025-01-16","","Membre"
"PM859667","PA721296","Guillaume Gouffier Valente","PO851749","GA","France-Liban","2025-01-27","","Membre"
"PM862794","PA841223","Tristan Lahais","PO851658","GA","France-Danemark","2025-02-05","","Vice-Président"
"PM855235","PA840673","Valérie Rossi","PO854240","GE","Commerce, artisanat et métiers d'art","2024-12-28","","Membre"
"PM858935","PA720154","Nicole Dubré-Chirat","PO851289","GA","France-Royaume-Uni de Grande-Bretagne et d'Irlande du Nord","2025-01-24","","Membre"
"PM875349","PA841151","Alix Fruchon","PO851376","GA","France-Italie","2025-11-19","2026-06-22","Membre"
"PM860717","PA841191","Sandrine Nosbé","PO851447","GA","France-Haïti","2025-01-29","","Membre"
"PM856146","PA720430","Ugo Bernalicis","PO854157","GE","Filière brassicole","2025-01-14","","Membre"
"PM859846","PA720256","Géraldine Bannier","PO851537","GA","France-Ukraine","2025-01-28","","Membre"
"PM855414","PA841681","Thierry Sother","PO854530","GE","Sécurité routière","2025-01-07","","Membre"
"PM857670","PA841563","Claire Marais-Beuil","PO854514","GE","Jeu vidéo","2025-01-23","","Membre"
"PM861628","PA795820","Marcellin Nadeau","PO851422","GA","France-Kazakhstan","2025-01-31","","Membre"
"PM857057","PA794894","Anaïs Sabatini","PO854328","GE","Eau et biodiversité","2025-01-20","","Membre"
"PM860184","PA794946","Antoine Villedieu","PO851517","GA","France-Russie","2025-01-28","","Membre"
"PM863884","PA795228","Nadège Abomangoli","PO851678","GA","France-Togo","2025-02-10","","Membre"
"PM856325","PA721314","Raphaël Schellenberger","PO854268","GE","Montagne","2025-01-15","","Membre"
"PM858581","PA345722","Constance Le Grip","PO851934","GEVI","Groupe d'études à vocation internationale Taïwan","2025-01-23","","Membre"
"PM872007","PA794570","Alexandre Sabatou","PO851386","GA","France-Royaume des Pays-Bas","2025-07-01","2025-09-07","Membre"
"PM862539","PA841737","Jonathan Gery","PO854354","GE","Condition et bien-être des animaux","2025-02-05","","Membre"
"PM861095","PA719968","Sylvie Bonnet","PO851462","GA","France-Lituanie","2025-01-30","","Membre"
"PM861807","PA721024","Anne Genetet","PO851537","GA","France-Ukraine","2025-02-03","","Membre"
"PM857236","PA795966","Stéphane Rambaud","PO854308","GE","Littoral","2025-01-22","","Membre"
"PM860363","PA332523","Marie-Christine Dalloz","PO851567","GA","France-Finlande","2025-01-28","2025-02-13","Membre"
"PM880477","PA870009","Lionel Duparay","PO851567","GA","France-Finlande","2026-04-08","","Membre"
"PM859492","PA794206","Christophe Marion","PO851304","GA","France-Israël","2025-01-27","","Membre"
"PM856504","PA841183","Hanane Mansouri","PO854359","GE","Gastronomie, métiers de bouche et arts de la table","2025-01-15","","Membre"
"PM858760","PA720552","Isabelle Rauch","PO854338","GE","Enjeux frontaliers et transfrontaliers","2025-01-23","","Membre"
"PM862718","PA840721","Marc Chavent","PO854491","GE","Ruralité","2025-02-05","","Membre"
"PM858147","PA842117","Vincent Jeanbrun","PO851376","GA","France-Italie","2025-01-23","2025-11-12","Membre"
"PM861274","PA794270","Anna Pic","PO854465","GE","Gens du voyage","2025-01-30","","Membre"
"PM864974","PA719032","Bertrand Bouyx","PO851884","GA","France-Norvège","2025-02-18","","Vice-Président"
"PM859671","PA721296","Guillaume Gouffier Valente","PO851879","GA","France-Mauritanie","2025-01-27","","Membre"
"PM863629","PA795120","Marina Ferrari","PO851249","GA","France-Arabie Saoudite","2025-02-10","2025-11-12","Membre"
"PM875353","PA841151","Alix Fruchon","PO851612","GA","France-Maroc","2025-11-19","","Membre"
"PM858326","PA720354","Jean-Michel Jacques","PO851339","GA","France-Vietnam","2025-01-23","","Membre"
"PM860721","PA841191","Sandrine Nosbé","PO854318","GE","Pauvreté, précarité, non-recours aux droits et sans-abri","2025-01-29","","Membre"
"PM860108","PA841587","David Magnier","PO851309","GA","France-Guinée équatoriale","2025-01-28","","Membre"
"PM859850","PA794322","Thomas Ménagé","PO851304","GA","France-Israël","2025-01-28","","Membre"
"PM866796","PA610002","Eva Sas","PO854273","GE","Discriminations et LGBTQI-phobies","2025-03-11","","Vice-Président"
"PM863808","PA795228","Nadège Abomangoli","PO851904","GA","France-Emirats Arabes Unis","2025-02-10","","Membre"
"PM859237","PA795722","Karl Olive","PO851658","GA","France-Danemark","2025-01-24","","Membre"
"PM862364","PA795616","Carlos Martens Bilongo","PO851234","GA","France-Belgique","2025-02-04","","Vice-Président"
"PM861632","PA795228","Nadège Abomangoli","PO851219","GA","France-Gambie","2025-01-31","","Membre"
"PM857061","PA794894","Anaïs Sabatini","PO854423","GE","Polices municipales","2025-01-20","","Membre"
"PM861019","PA841853","Céline Hervieu","PO851477","GA","France-Brésil","2025-01-30","","Président"
"PM860900","PA795100","Éric Martineau","PO851592","GA","France-Mexique","2025-01-29","","Membre"
"PM864719","PA841471","Stéphane Hablot","PO851668","GA","France-Jordanie","2025-02-14","","Membre"
"PM863275","PA267306","André Chassaigne","PO854349","GE","Forêt et filière bois","2025-02-06","2025-03-31","Membre"
"PM872011","PA794570","Alexandre Sabatou","PO851587","GA","France-São Tomé et Príncipe","2025-07-01","2025-09-07","Membre"
"PM866975","PA841613","Marc de Fleurian","PO851799","GA","France-Bulgarie","2025-03-15","2025-03-17","Membre"
"PM859416","PA793416","Freddy Sertin","PO854195","GE","Antisémitisme","2025-01-27","2025-11-12","Membre"
"PM861811","PA795136","Jean-François Coulomme","PO854184","GE","Prisons et conditions carcérales","2025-01-28","","Président"
"PM857240","PA795966","Stéphane Rambaud","PO854460","GE","Sahara occidental","2025-01-22","","Membre"
"PM864186","PA793314","Alexandra Masson","PO851542","GA","France-Monaco","2025-02-11","2026-04-21","Vice-Président"
"PM880481","PA870009","Lionel Duparay","PO851633","GA","France-Maurice","2026-04-08","","Membre"
"PM863454","PA794094","Mickaël Bouloux","PO851522","GA","France-Québec","2025-02-06","","Vice-Président"
"PM862722","PA841701","Léa Balage El Mariky","PO851638","GA","France-Pakistan","2025-02-05","","Membre"
"PM858151","PA842117","Vincent Jeanbrun","PO851612","GA","France-Maroc","2025-01-23","2025-11-12","Membre"
"PM862109","PA840979","Corentin Le Fur","PO854530","GE","Sécurité routière","2025-02-03","","Membre"
"PM868797","PA841873","Julien Limongi","PO854540","GE","Sécurité privée","2025-03-04","","Vice-Président"
"PM864365","PA840765","Laurent Lhardit","PO851628","GA","France-Portugal","2025-02-12","","Membre"
"PM854897","PA840903","Paul Christophle","PO854278","GE","Déserts médicaux et accès aux soins","2024-12-20","","Membre"
"PM863633","PA795808","Sabrina Sebaihi","PO854578","GE","Racisme et discriminations raciales ou religieuses","2025-02-10","","Vice-Président"
"PM862901","PA721916","Natalia Pouzyreff","PO851304","GA","France-Israël","2025-02-05","","Membre"
"PM858330","PA794954","Emeric Salmon","PO851376","GA","France-Italie","2025-01-23","","Membre"
"PM881571","PA840745","Édouard Jordan","PO854343","GE","Vigne, vin et œnologie","2026-05-05","","Membre"
"PM860112","PA840869","Florence Joubert","PO854313","GE","Longévité et adaptation de la société au vieillissement","2025-01-28","","Membre"
"PM863812","PA795228","Nadège Abomangoli","PO851214","GA","France-Estonie","2025-02-10","","Membre"
"PM859241","PA841367","Christophe Proença","PO851698","GA","France-Cuba","2025-01-24","","Membre"
"PM861023","PA774958","Gérard Leseul","PO851319","GA","France-Equateur","2025-01-30","","Président"
"PM855987","PA721004","Amélia Lakrafi","PO854343","GE","Vigne, vin et œnologie","2025-01-14","","Membre"
"PM864723","PA841471","Stéphane Hablot","PO851299","GA","France-Mali","2025-02-14","","Membre"
"PM859420","PA793416","Freddy Sertin","PO854189","GE","Simplification administrative","2025-01-27","2025-11-12","Membre"
"PM866366","PA335054","Marietta Karamanli","PO851914","GA","France-Etats-Unis","2025-03-06","","Secrétaire"
"PM856898","PA1327","Nicolas Forissier","PO854525","GE","Chasse et pêche","2025-01-17","2025-11-12","Membre"
"PM864190","PA841587","David Magnier","PO851517","GA","France-Russie","2025-02-11","","Vice-Président"
"PM864902","PA841451","Julien Guibert","PO854349","GE","Forêt et filière bois","2025-02-18","","Secrétaire"
"PM867277","PA796070","Perceval Gaillard","PO851749","GA","France-Liban","2025-03-19","","Membre"
"PM866545","PA795278","Béatrice Bellamy","PO854333","GE","Industries du luxe","2025-03-04","2026-05-23","Vice-Président"
"PM862113","PA840979","Corentin Le Fur","PO854508","GE","Vie associative, éducation populaire et bénévolat","2025-02-03","","Membre"
"PM857988","PA795330","Eléonore Caroit","PO851502","GA","France-Pérou","2025-01-23","2025-11-12","Membre"
"PM865280","PA335054","Marietta Karamanli","PO854313","GE","Longévité et adaptation de la société au vieillissement","2025-02-18","","Vice-Président"
"PM855199","PA267200","Sébastien Huyghe","PO854454","GE","Aéronautique et espace","2024-12-27","","Membre"
"PM858899","PA267780","Agnès Firmin Le Bodo","PO851683","GA","France-Malte","2025-01-23","","Membre"
"PM863203","PA718838","Fabrice Brun","PO851724","GA","France-Espagne","2025-02-06","","Membre"
"PM855991","PA794658","Philippe Fait","PO854157","GE","Filière brassicole","2025-01-14","","Membre"
"PM855378","PA774954","Anne-Laure Blin","PO854444","GE","Cheval","2025-01-07","","Membre"
"PM864114","PA794138","Ségolène Amiot","PO854417","GE","Prostitution","2025-02-11","","Membre"
"PM866370","PA795808","Sabrina Sebaihi","PO851914","GA","France-Etats-Unis","2025-03-06","","Secrétaire"
"PM859989","PA266797","Philippe Gosselin","PO854215","GE","Îles anglo-normandes","2025-01-28","","Membre"
"PM855557","PA720952","Aurélien Taché","PO854429","GE","Francophonie","2025-01-08","","Membre"
"PM867281","PA796070","Perceval Gaillard","PO851602","GA","France-République démocratique du Congo","2025-03-19","","Membre"
"PM854825","PA793912","Sylvain Carrière","PO854308","GE","Littoral","2024-12-19","","Membre"
"PM856468","PA795552","Julien Odoul","PO854354","GE","Condition et bien-être des animaux","2025-01-15","","Membre"
"PM865204","PA266797","Philippe Gosselin","PO851844","GA","France-République d'Autriche","2025-02-19","","Membre"
"PM855736","PA793230","Angélique Ranc","PO854328","GE","Eau et biodiversité","2025-01-11","","Membre"
"PM857992","PA795330","Eléonore Caroit","PO851314","GA","France-Uruguay","2025-01-23","2025-11-12","Membre"
"PM871418","PA330008","Xavier Breton","PO854278","GE","Déserts médicaux et accès aux soins","2025-06-10","","Vice-Président"
"PM866115","PA793664","Marie Pochon","PO854555","GE","Sapeurs-pompiers, sécurité civile et gestion des crises","2025-03-04","","Secrétaire"
"PM874585","PA842211","Béatrice Bellay","PO854288","GE","Attractivité économique et export","2025-11-04","","Membre"
"PM867026","PA841613","Marc de Fleurian","PO851259","GA","France-Lettonie","2025-03-15","2025-03-17","Membre"
"PM857558","PA793182","Jorys Bovet","PO854278","GE","Déserts médicaux et accès aux soins","2025-01-22","","Membre"
"PM860685","PA794590","Alexandre Loubet","PO851724","GA","France-Espagne","2025-01-29","","Membre"
"PM855382","PA774954","Anne-Laure Blin","PO854328","GE","Eau et biodiversité","2025-01-07","","Membre"
"PM875496","PA795334","Benoît Larrouquis","PO851477","GA","France-Brésil","2025-11-24","","Membre"
"PM858469","PA721182","Frédéric Petit","PO851562","GA","France-Bosnie-Herzégovine","2025-01-23","","Membre"
"PM861596","PA794094","Mickaël Bouloux","PO851427","GA","France-Cap-Vert","2025-01-31","","Membre"
"PM867205","PA794830","Hubert Ott","PO854343","GE","Vigne, vin et œnologie","2025-02-19","","Secrétaire"
"PM857737","PA774954","Anne-Laure Blin","PO851673","GA","France-Allemagne","2025-01-23","","Membre"
"PM860864","PA842013","Steevy Gustave","PO851244","GA","France-Géorgie","2025-01-29","","Président"
"PM856293","PA794554","Salvatore Castiglione","PO854251","GE","Autisme","2025-01-15","2025-11-05","Membre"
"PM880978","PA608826","Virginie Duby-Muller","PO851442","GA","France-Canada","2026-04-15","","Membre"
"PM859993","PA795144","Antoine Armand","PO854434","GE","Élevage et pastoralisme","2025-01-28","2026-04-27","Co-Président"
"PM855561","PA720952","Aurélien Taché","PO854519","GE","Chrétiens d'Orient","2025-01-08","","Membre"
"PM885143","PA720362","Belkhir Belhaddad","PO851249","GA","France-Arabie Saoudite","2026-09-08","","Membre"
"PM858648","PA721932","Marie-France Lorho","PO851304","GA","France-Israël","2025-01-23","","Membre"
"PM861775","PA719032","Bertrand Bouyx","PO851432","GA","France-Irlande","2025-02-03","","Membre"
"PM857916","PA719528","Jean-François Portarrieu","PO851869","GA","France-Macédoine du Nord","2025-01-23","","Membre"
"PM856472","PA795552","Julien Odoul","PO854578","GE","Racisme et discriminations raciales ou religieuses","2025-01-15","","Membre"
"PM855740","PA793230","Angélique Ranc","PO854423","GE","Polices municipales","2025-01-11","","Membre"
"PM872154","PA870010","Sébastien Martin","PO854369","GE","Spectacle vivant","2025-07-02","2025-11-12","Membre"
"PM859559","PA717379","Sylvain Maillard","PO854454","GE","Aéronautique et espace","2025-01-27","","Membre"
"PM871422","PA793664","Marie Pochon","PO854278","GE","Déserts médicaux et accès aux soins","2025-06-10","","Vice-Président"
"PM858827","PA795176","Nicolas Metzdorf","PO851894","GA","France-Indonésie","2025-01-23","","Membre"
"PM861954","PA840979","Corentin Le Fur","PO851879","GA","France-Mauritanie","2025-02-03","","Membre"
"PM863597","PA267306","André Chassaigne","PO851567","GA","France-Finlande","2025-02-07","2025-03-31","Vice-Président"
"PM860609","PA695512","Guillaume Lepers","PO851284","GA","France-Côte d'Ivoire","2025-01-29","2026-04-20","Membre"
"PM856038","PA266808","Vincent Rolland","PO854449","GE","Alzheimer et maladies neurodégénératives","2025-01-14","","Membre"
"PM859738","PA841645","Théo Bernhardt","PO851304","GA","France-Israël","2025-01-27","","Membre"
"PM862865","PA795808","Sabrina Sebaihi","PO851698","GA","France-Cuba","2025-02-05","","Membre"
"PM867030","PA841613","Marc de Fleurian","PO851462","GA","France-Lituanie","2025-03-15","2025-03-17","Membre"
"PM857562","PA793182","Jorys Bovet","PO854471","GE","Handicap et inclusion","2025-01-22","","Membre"
"PM860076","PA795778","Jean-Philippe Tanguy","PO851234","GA","France-Belgique","2025-01-28","","Membre"
"PM863776","PA795228","Nadège Abomangoli","PO856864","GA","France-Angola","2025-02-10","","Membre"
"PM856217","PA841395","Maxime Michelet","PO854343","GE","Vigne, vin et œnologie","2025-01-15","","Membre"
"PM859917","PA795270","Marie-Agnès Poussier-Winsback","PO851597","GA","France-Monténégro","2025-01-28","","Membre"
"PM858473","PA721182","Frédéric Petit","PO851229","GA","France-Hongrie","2025-01-23","","Membre"
"PM857741","PA774954","Anne-Laure Blin","PO851924","GA","France-Sénégal","2025-01-23","","Membre"
"PM864687","PA266808","Vincent Rolland","PO854454","GE","Aéronautique et espace","2025-02-11","","Vice-Président"
"PM880982","PA608826","Virginie Duby-Muller","PO851663","GA","France-Iran","2026-04-15","","Membre"
"PM857128","PA793238","Christophe Barthès","PO854555","GE","Sapeurs-pompiers, sécurité civile et gestion des crises","2025-01-21","2026-04-20","Membre"
"PM860255","PA793330","Bryan Masson","PO851945","GEVI","Groupe d'études à vocation internationale sur la Libye","2025-01-28","2026-04-01","Membre"
"PM863955","PA795330","Eléonore Caroit","PO851447","GA","France-Haïti","2025-02-11","2025-11-12","Vice-Président"
"PM859384","PA795966","Stéphane Rambaud","PO851366","GA","France-Cambodge","2025-01-27","","Membre"
"PM858652","PA721932","Marie-France Lorho","PO851517","GA","France-Russie","2025-01-23","","Membre"
"PM858039","PA840967","René Lioret","PO851467","GA","France-Pologne","2025-01-23","","Membre"
"PM857920","PA841613","Marc de Fleurian","PO851386","GA","France-Royaume des Pays-Bas","2025-01-23","","Membre"
"PM864866","PA606098","Olivier Marleix","PO851612","GA","France-Maroc","2025-02-18","2025-07-07","Vice-Président"
"PM860434","PA793330","Bryan Masson","PO854514","GE","Jeu vidéo","2025-01-28","2026-04-01","Membre"
"PM873602","PA840119","Sandra Delannoy","PO851819","GA","France-Roumanie","2025-10-10","","Membre"
"PM862077","PA721004","Amélia Lakrafi","PO851929","GA","France-République centrafricaine","2025-01-31","","Vice-Président"
"PM865777","PA841315","Karim Benbrahim","PO851663","GA","France-Iran","2025-02-25","","Membre"
"PM858218","PA606573","Fanny Dombre Coste","PO851924","GA","France-Sénégal","2025-01-23","","Membre"
"PM860613","PA695512","Guillaume Lepers","PO851376","GA","France-Italie","2025-01-29","2026-04-20","Membre"
"PM856042","PA266808","Vincent Rolland","PO854525","GE","Chasse et pêche","2025-01-14","","Membre"
"PM866688","PA840143","Guillaume Florquin","PO854273","GE","Discriminations et LGBTQI-phobies","2025-03-11","","Membre"
"PM859129","PA795786","Yaël Ménaché","PO851472","GA","France-Serbie","2025-01-24","","Membre"
"PM862256","PA840685","Vincent Trébuchet","PO851376","GA","France-Italie","2025-02-04","","Membre"
"PM865956","PA795636","Benjamin Lucas-Lundy","PO851779","GA","France-Egypte","2025-03-03","","Membre"
